lesson;cs;cs
6;BCDI;pBCDI
7;BCDJ;pBCDJ
5;BCEA;pBCEA
6;BCEB;pBCEB
1;BCEC;pBCEC
14;BCED;pBCED
19;BCEE;pBCEE
11;BCEF;pBCEF
2;BCEG;pBCEG
14;BCEH;pBCEH
0;BCEI;pBCEI
0;BCEJ;pBCEJ
5;BCFA;pBCFA
16;BCFB;pBCFB
1;BCFC;pBCFC
7;BCFD;pBCFD
4;BCFE;pBCFE
8;BCFF;pBCFF
1;BCFG;pBCFG
7;BCFH;pBCFH
8;BCFI;pBCFI
1;BCFJ;pBCFJ
16;BCGA;pBCGA
9;BCGB;pBCGB
10;BCGC;pBCGC
11;BCGD;pBCGD
10;BCGE;pBCGE
3;BCGF;pBCGF
14;BCGG;pBCGG
8;BCGH;pBCGH
1;BCGI;pBCGI
8;BCGJ;pBCGJ
8;BCHA;pBCHA
14;BCHB;pBCHB
8;BCHC;pBCHC
17;BCHD;pBCHD
8;BCHE;pBCHE
12;BCHF;pBCHF
6;BCHG;pBCHG
4;BCHH;pBCHH
4;BCHI;pBCHI
11;BCHJ;pBCHJ
10;BCIA;pBCIA
8;BCIB;pBCIB
18;BCIC;pBCIC
14;BCID;pBCID
0;BCIE;pBCIE
16;BCIF;pBCIF
16;BCIG;pBCIG
15;BCIH;pBCIH
16;BCII;pBCII
3;BCIJ;pBCIJ
10;BCJA;pBCJA
16;BCJB;pBCJB
5;BCJC;pBCJC
11;BCJD;pBCJD
18;BCJE;pBCJE
17;BCJF;pBCJF
17;BCJG;pBCJG
9;BCJH;pBCJH
8;BCJI;pBCJI
16;BCJJ;pBCJJ
15;BDAA;pBDAA
1;BDAB;pBDAB
3;BDAC;pBDAC
11;BDAD;pBDAD
5;BDAE;pBDAE
13;BDAF;pBDAF
4;BDAG;pBDAG
9;BDAH;pBDAH
3;BDAI;pBDAI
11;BDAJ;pBDAJ
8;BDBA;pBDBA
16;BDBB;pBDBB
0;BDBC;pBDBC
10;BDBD;pBDBD
16;BDBE;pBDBE
1;BDBF;pBDBF
7;BDBG;pBDBG
14;BDBH;pBDBH
4;BDBI;pBDBI
12;BDBJ;pBDBJ
16;BDCA;pBDCA
17;BDCB;pBDCB
19;BDCC;pBDCC
1;BDCD;pBDCD
1;BDCE;pBDCE
4;BDCF;pBDCF
13;BDCG;pBDCG
7;BDCH;pBDCH
19;BDCI;pBDCI
6;BDCJ;pBDCJ
10;BDDA;pBDDA
1;BDDB;pBDDB
9;BDDC;pBDDC
17;BDDD;pBDDD
11;BDDE;pBDDE
7;BDDF;pBDDF
15;BDDG;pBDDG
10;BDDH;pBDDH
6;BDDI;pBDDI
1;BDDJ;pBDDJ
15;BDEA;pBDEA
7;BDEB;pBDEB
19;BDEC;pBDEC
17;BDED;pBDED
8;BDEE;pBDEE
4;BDEF;pBDEF
16;BDEG;pBDEG
17;BDEH;pBDEH
18;BDEI;pBDEI
3;BDEJ;pBDEJ
17;BDFA;pBDFA
12;BDFB;pBDFB
10;BDFC;pBDFC
15;BDFD;pBDFD
16;BDFE;pBDFE
6;BDFF;pBDFF
10;BDFG;pBDFG
2;BDFH;pBDFH
19;BDFI;pBDFI
6;BDFJ;pBDFJ
8;BDGA;pBDGA
5;BDGB;pBDGB
11;BDGC;pBDGC
7;BDGD;pBDGD
11;BDGE;pBDGE
1;BDGF;pBDGF
7;BDGG;pBDGG
4;BDGH;pBDGH
14;BDGI;pBDGI
0;BDGJ;pBDGJ
2;BDHA;pBDHA
13;BDHB;pBDHB
12;BDHC;pBDHC
2;BDHD;pBDHD
9;BDHE;pBDHE
7;BDHF;pBDHF
8;BDHG;pBDHG
8;BDHH;pBDHH
16;BDHI;pBDHI
15;BDHJ;pBDHJ
1;BDIA;pBDIA
16;BDIB;pBDIB
2;BDIC;pBDIC
18;BDID;pBDID
16;BDIE;pBDIE
2;BDIF;pBDIF
16;BDIG;pBDIG
19;BDIH;pBDIH
17;BDII;pBDII
19;BDIJ;pBDIJ
14;BDJA;pBDJA
13;BDJB;pBDJB
12;BDJC;pBDJC
8;BDJD;pBDJD
0;BDJE;pBDJE
18;BDJF;pBDJF
14;BDJG;pBDJG
5;BDJH;pBDJH
12;BDJI;pBDJI
13;BDJJ;pBDJJ
6;BEAA;pBEAA
18;BEAB;pBEAB
7;BEAC;pBEAC
4;BEAD;pBEAD
3;BEAE;pBEAE
2;BEAF;pBEAF
9;BEAG;pBEAG
9;BEAH;pBEAH
10;BEAI;pBEAI
11;BEAJ;pBEAJ
0;BEBA;pBEBA
18;BEBB;pBEBB
5;BEBC;pBEBC
9;BEBD;pBEBD
8;BEBE;pBEBE
6;BEBF;pBEBF
16;BEBG;pBEBG
18;BEBH;pBEBH
5;BEBI;pBEBI
2;BEBJ;pBEBJ
19;BECA;pBECA
1;BECB;pBECB
5;BECC;pBECC
0;BECD;pBECD
19;BECE;pBECE
13;BECF;pBECF
17;BECG;pBECG
15;BECH;pBECH
8;BECI;pBECI
13;BECJ;pBECJ
9;BEDA;pBEDA
15;BEDB;pBEDB
7;BEDC;pBEDC
18;BEDD;pBEDD
10;BEDE;pBEDE
2;BEDF;pBEDF
5;BEDG;pBEDG
4;BEDH;pBEDH
8;BEDI;pBEDI
15;BEDJ;pBEDJ
8;BEEA;pBEEA
4;BEEB;pBEEB
16;BEEC;pBEEC
6;BEED;pBEED
8;BEEE;pBEEE
13;BEEF;pBEEF
7;BEEG;pBEEG
9;BEEH;pBEEH
5;BEEI;pBEEI
15;BEEJ;pBEEJ
11;BEFA;pBEFA
1;BEFB;pBEFB
19;BEFC;pBEFC
16;BEFD;pBEFD
2;BEFE;pBEFE
11;BEFF;pBEFF
17;BEFG;pBEFG
5;BEFH;pBEFH
13;BEFI;pBEFI
17;BEFJ;pBEFJ
18;BEGA;pBEGA
0;BEGB;pBEGB
7;BEGC;pBEGC
16;BEGD;pBEGD
17;BEGE;pBEGE
14;BEGF;pBEGF
18;BEGG;pBEGG
8;BEGH;pBEGH
9;BEGI;pBEGI
16;BEGJ;pBEGJ
13;BEHA;pBEHA
10;BEHB;pBEHB
4;BEHC;pBEHC
13;BEHD;pBEHD
15;BEHE;pBEHE
4;BEHF;pBEHF
11;BEHG;pBEHG
14;BEHH;pBEHH
10;BEHI;pBEHI
6;BEHJ;pBEHJ
2;BEIA;pBEIA
12;BEIB;pBEIB
19;BEIC;pBEIC
16;BEID;pBEID
4;BEIE;pBEIE
14;BEIF;pBEIF
2;BEIG;pBEIG
11;BEIH;pBEIH
18;BEII;pBEII
8;BEIJ;pBEIJ
13;BEJA;pBEJA
9;BEJB;pBEJB
17;BEJC;pBEJC
7;BEJD;pBEJD
17;BEJE;pBEJE
7;BEJF;pBEJF
16;BEJG;pBEJG
19;BEJH;pBEJH
12;BEJI;pBEJI
5;BEJJ;pBEJJ
10;BFAA;pBFAA
17;BFAB;pBFAB
5;BFAC;pBFAC
5;BFAD;pBFAD
0;BFAE;pBFAE
12;BFAF;pBFAF
1;BFAG;pBFAG
11;BFAH;pBFAH
3;BFAI;pBFAI
6;BFAJ;pBFAJ
2;BFBA;pBFBA
5;BFBB;pBFBB
17;BFBC;pBFBC
6;BFBD;pBFBD
9;BFBE;pBFBE
5;BFBF;pBFBF
12;BFBG;pBFBG
2;BFBH;pBFBH
16;BFBI;pBFBI
7;BFBJ;pBFBJ
15;BFCA;pBFCA
18;BFCB;pBFCB
12;BFCC;pBFCC
17;BFCD;pBFCD
15;BFCE;pBFCE
15;BFCF;pBFCF
5;BFCG;pBFCG
8;BFCH;pBFCH
17;BFCI;pBFCI
12;BFCJ;pBFCJ
19;BFDA;pBFDA
13;BFDB;pBFDB
6;BFDC;pBFDC
4;BFDD;pBFDD
7;BFDE;pBFDE
0;BFDF;pBFDF
11;BFDG;pBFDG
6;BFDH;pBFDH
7;BFDI;pBFDI
0;BFDJ;pBFDJ
14;BFEA;pBFEA
14;BFEB;pBFEB
6;BFEC;pBFEC
2;BFED;pBFED
17;BFEE;pBFEE
17;BFEF;pBFEF
8;BFEG;pBFEG
6;BFEH;pBFEH
18;BFEI;pBFEI
11;BFEJ;pBFEJ
16;BFFA;pBFFA
4;BFFB;pBFFB
10;BFFC;pBFFC
14;BFFD;pBFFD
3;BFFE;pBFFE
3;BFFF;pBFFF
17;BFFG;pBFFG
2;BFFH;pBFFH
12;BFFI;pBFFI
8;BFFJ;pBFFJ
10;BFGA;pBFGA
15;BFGB;pBFGB
16;BFGC;pBFGC
17;BFGD;pBFGD
16;BFGE;pBFGE
18;BFGF;pBFGF
12;BFGG;pBFGG
8;BFGH;pBFGH
9;BFGI;pBFGI
11;BFGJ;pBFGJ
5;BFHA;pBFHA
9;BFHB;pBFHB
14;BFHC;pBFHC
2;BFHD;pBFHD
15;BFHE;pBFHE
2;BFHF;pBFHF
10;BFHG;pBFHG
1;BFHH;pBFHH
17;BFHI;pBFHI
2;BFHJ;pBFHJ
17;BFIA;pBFIA
14;BFIB;pBFIB
4;BFIC;pBFIC
12;BFID;pBFID
0;BFIE;pBFIE
6;BFIF;pBFIF
5;BFIG;pBFIG
18;BFIH;pBFIH
8;BFII;pBFII
16;BFIJ;pBFIJ
12;BFJA;pBFJA
10;BFJB;pBFJB
0;BFJC;pBFJC
14;BFJD;pBFJD
7;BFJE;pBFJE
12;BFJF;pBFJF
0;BFJG;pBFJG
17;BFJH;pBFJH
8;BFJI;pBFJI
15;BFJJ;pBFJJ
2;BGAA;pBGAA
3;BGAB;pBGAB
14;BGAC;pBGAC
8;BGAD;pBGAD
17;BGAE;pBGAE
18;BGAF;pBGAF
9;BGAG;pBGAG
16;BGAH;pBGAH
16;BGAI;pBGAI
6;BGAJ;pBGAJ
3;BGBA;pBGBA
18;BGBB;pBGBB
19;BGBC;pBGBC
7;BGBD;pBGBD
17;BGBE;pBGBE
5;BGBF;pBGBF
2;BGBG;pBGBG
8;BGBH;pBGBH
11;BGBI;pBGBI
7;BGBJ;pBGBJ
3;BGCA;pBGCA
15;BGCB;pBGCB
1;BGCC;pBGCC
18;BGCD;pBGCD
8;BGCE;pBGCE
6;BGCF;pBGCF
19;BGCG;pBGCG
6;BGCH;pBGCH
9;BGCI;pBGCI
1;BGCJ;pBGCJ
14;BGDA;pBGDA
16;BGDB;pBGDB
6;BGDC;pBGDC
6;BGDD;pBGDD
3;BGDE;pBGDE
16;BGDF;pBGDF
9;BGDG;pBGDG
13;BGDH;pBGDH
11;BGDI;pBGDI
1;BGDJ;pBGDJ
19;BGEA;pBGEA
0;BGEB;pBGEB
11;BGEC;pBGEC
9;BGED;pBGED
7;BGEE;pBGEE
14;BGEF;pBGEF
14;BGEG;pBGEG
3;BGEH;pBGEH
6;BGEI;pBGEI
13;BGEJ;pBGEJ
13;BGFA;pBGFA
9;BGFB;pBGFB
1;BGFC;pBGFC
1;BGFD;pBGFD
14;BGFE;pBGFE
1;BGFF;pBGFF
16;BGFG;pBGFG
19;BGFH;pBGFH
13;BGFI;pBGFI
19;BGFJ;pBGFJ
9;BGGA;pBGGA
8;BGGB;pBGGB
10;BGGC;pBGGC
0;BGGD;pBGGD
5;BGGE;pBGGE
19;BGGF;pBGGF
11;BGGG;pBGGG
6;BGGH;pBGGH
5;BGGI;pBGGI
9;BGGJ;pBGGJ
5;BGHA;pBGHA
8;BGHB;pBGHB
11;BGHC;pBGHC
14;BGHD;pBGHD
9;BGHE;pBGHE
7;BGHF;pBGHF
17;BGHG;pBGHG
10;BGHH;pBGHH
5;BGHI;pBGHI
8;BGHJ;pBGHJ
10;BGIA;pBGIA
9;BGIB;pBGIB
2;BGIC;pBGIC
16;BGID;pBGID
0;BGIE;pBGIE
4;BGIF;pBGIF
16;BGIG;pBGIG
10;BGIH;pBGIH
18;BGII;pBGII
5;BGIJ;pBGIJ
12;BGJA;pBGJA
8;BGJB;pBGJB
3;BGJC;pBGJC
8;BGJD;pBGJD
2;BGJE;pBGJE
13;BGJF;pBGJF
15;BGJG;pBGJG
15;BGJH;pBGJH
7;BGJI;pBGJI
1;BGJJ;pBGJJ
1;BHAA;pBHAA
0;BHAB;pBHAB
4;BHAC;pBHAC
9;BHAD;pBHAD
0;BHAE;pBHAE
17;BHAF;pBHAF
0;BHAG;pBHAG
16;BHAH;pBHAH
5;BHAI;pBHAI
12;BHAJ;pBHAJ
6;BHBA;pBHBA
18;BHBB;pBHBB
0;BHBC;pBHBC
3;BHBD;pBHBD
15;BHBE;pBHBE
9;BHBF;pBHBF
3;BHBG;pBHBG
18;BHBH;pBHBH
19;BHBI;pBHBI
17;BHBJ;pBHBJ
5;BHCA;pBHCA
3;BHCB;pBHCB
1;BHCC;pBHCC
0;BHCD;pBHCD
8;BHCE;pBHCE
15;BHCF;pBHCF
8;BHCG;pBHCG
2;BHCH;pBHCH
12;BHCI;pBHCI
6;BHCJ;pBHCJ
14;BHDA;pBHDA
1;BHDB;pBHDB
0;BHDC;pBHDC
11;BHDD;pBHDD
12;BHDE;pBHDE
8;BHDF;pBHDF
18;BHDG;pBHDG
17;BHDH;pBHDH
0;BHDI;pBHDI
9;BHDJ;pBHDJ
7;BHEA;pBHEA
12;BHEB;pBHEB
2;BHEC;pBHEC
17;BHED;pBHED
14;BHEE;pBHEE
5;BHEF;pBHEF
3;BHEG;pBHEG
15;BHEH;pBHEH
14;BHEI;pBHEI
19;BHEJ;pBHEJ
5;BHFA;pBHFA
3;BHFB;pBHFB
4;BHFC;pBHFC
11;BHFD;pBHFD
7;BHFE;pBHFE
12;BHFF;pBHFF
14;BHFG;pBHFG
7;BHFH;pBHFH
0;BHFI;pBHFI
11;BHFJ;pBHFJ
8;BHGA;pBHGA
16;BHGB;pBHGB
13;BHGC;pBHGC
3;BHGD;pBHGD
0;BHGE;pBHGE
9;BHGF;pBHGF
0;BHGG;pBHGG
14;BHGH;pBHGH
9;BHGI;pBHGI
14;BHGJ;pBHGJ
10;BHHA;pBHHA
17;BHHB;pBHHB
0;BHHC;pBHHC
18;BHHD;pBHHD
9;BHHE;pBHHE
7;BHHF;pBHHF
11;BHHG;pBHHG
9;BHHH;pBHHH
3;BHHI;pBHHI
6;BHHJ;pBHHJ
13;BHIA;pBHIA
17;BHIB;pBHIB
5;BHIC;pBHIC
3;BHID;pBHID
5;BHIE;pBHIE
7;BHIF;pBHIF
3;BHIG;pBHIG
19;BHIH;pBHIH
6;BHII;pBHII
5;BHIJ;pBHIJ
7;BHJA;pBHJA
1;BHJB;pBHJB
3;BHJC;pBHJC
5;BHJD;pBHJD
4;BHJE;pBHJE
13;BHJF;pBHJF
16;BHJG;pBHJG
4;BHJH;pBHJH
9;BHJI;pBHJI
18;BHJJ;pBHJJ
9;BIAA;pBIAA
19;BIAB;pBIAB
14;BIAC;pBIAC
1;BIAD;pBIAD
18;BIAE;pBIAE
18;BIAF;pBIAF
2;BIAG;pBIAG
6;BIAH;pBIAH
15;BIAI;pBIAI
8;BIAJ;pBIAJ
14;BIBA;pBIBA
2;BIBB;pBIBB
0;BIBC;pBIBC
19;BIBD;pBIBD
17;BIBE;pBIBE
1;BIBF;pBIBF
11;BIBG;pBIBG
8;BIBH;pBIBH
16;BIBI;pBIBI
5;BIBJ;pBIBJ
8;BICA;pBICA
8;BICB;pBICB
8;BICC;pBICC
11;BICD;pBICD
18;BICE;pBICE
16;BICF;pBICF
2;BICG;pBICG
6;BICH;pBICH
12;BICI;pBICI
2;BICJ;pBICJ
6;BIDA;pBIDA
5;BIDB;pBIDB
11;BIDC;pBIDC
14;BIDD;pBIDD
19;BIDE;pBIDE
15;BIDF;pBIDF
14;BIDG;pBIDG
4;BIDH;pBIDH
10;BIDI;pBIDI
1;BIDJ;pBIDJ
6;BIEA;pBIEA
2;BIEB;pBIEB
17;BIEC;pBIEC
8;BIED;pBIED
19;BIEE;pBIEE
0;BIEF;pBIEF
6;BIEG;pBIEG
2;BIEH;pBIEH
2;BIEI;pBIEI
2;BIEJ;pBIEJ
15;BIFA;pBIFA
18;BIFB;pBIFB
4;BIFC;pBIFC
14;BIFD;pBIFD
12;BIFE;pBIFE
10;BIFF;pBIFF
7;BIFG;pBIFG
3;BIFH;pBIFH
12;BIFI;pBIFI
3;BIFJ;pBIFJ
12;BIGA;pBIGA
0;BIGB;pBIGB
4;BIGC;pBIGC
17;BIGD;pBIGD
17;BIGE;pBIGE
17;BIGF;pBIGF
2;BIGG;pBIGG
5;BIGH;pBIGH
16;BIGI;pBIGI
15;BIGJ;pBIGJ
0;BIHA;pBIHA
1;BIHB;pBIHB
12;BIHC;pBIHC
3;BIHD;pBIHD
11;BIHE;pBIHE
3;BIHF;pBIHF
10;BIHG;pBIHG
1;BIHH;pBIHH
3;BIHI;pBIHI
4;BIHJ;pBIHJ
14;BIIA;pBIIA
17;BIIB;pBIIB
8;BIIC;pBIIC
11;BIID;pBIID
7;BIIE;pBIIE
9;BIIF;pBIIF
3;BIIG;pBIIG
8;BIIH;pBIIH
8;BIII;pBIII
0;BIIJ;pBIIJ
13;BIJA;pBIJA
2;BIJB;pBIJB
5;BIJC;pBIJC
10;BIJD;pBIJD
7;BIJE;pBIJE
8;BIJF;pBIJF
13;BIJG;pBIJG
9;BIJH;pBIJH
14;BIJI;pBIJI
15;BIJJ;pBIJJ
1;BJAA;pBJAA
8;BJAB;pBJAB
1;BJAC;pBJAC
5;BJAD;pBJAD
9;BJAE;pBJAE
6;BJAF;pBJAF
17;BJAG;pBJAG
8;BJAH;pBJAH
5;BJAI;pBJAI
18;BJAJ;pBJAJ
1;BJBA;pBJBA
18;BJBB;pBJBB
7;BJBC;pBJBC
12;BJBD;pBJBD
10;BJBE;pBJBE
7;BJBF;pBJBF
3;BJBG;pBJBG
6;BJBH;pBJBH
8;BJBI;pBJBI
3;BJBJ;pBJBJ
15;BJCA;pBJCA
8;BJCB;pBJCB
18;BJCC;pBJCC
2;BJCD;pBJCD
17;BJCE;pBJCE
16;BJCF;pBJCF
14;BJCG;pBJCG
18;BJCH;pBJCH
5;BJCI;pBJCI
14;BJCJ;pBJCJ
0;BJDA;pBJDA
4;BJDB;pBJDB
7;BJDC;pBJDC
11;BJDD;pBJDD
5;BJDE;pBJDE
13;BJDF;pBJDF
1;BJDG;pBJDG
5;BJDH;pBJDH
3;BJDI;pBJDI
6;BJDJ;pBJDJ
16;BJEA;pBJEA
3;BJEB;pBJEB
11;BJEC;pBJEC
17;BJED;pBJED
5;BJEE;pBJEE
4;BJEF;pBJEF
6;BJEG;pBJEG
2;BJEH;pBJEH
10;BJEI;pBJEI
1;BJEJ;pBJEJ
12;BJFA;pBJFA
2;BJFB;pBJFB
18;BJFC;pBJFC
6;BJFD;pBJFD
6;BJFE;pBJFE
15;BJFF;pBJFF
1;BJFG;pBJFG
10;BJFH;pBJFH
9;BJFI;pBJFI
13;BJFJ;pBJFJ
19;BJGA;pBJGA
12;BJGB;pBJGB
4;BJGC;pBJGC
0;BJGD;pBJGD
8;BJGE;pBJGE
12;BJGF;pBJGF
7;BJGG;pBJGG
9;BJGH;pBJGH
12;BJGI;pBJGI
18;BJGJ;pBJGJ
4;BJHA;pBJHA
1;BJHB;pBJHB
16;BJHC;pBJHC
11;BJHD;pBJHD
14;BJHE;pBJHE
7;BJHF;pBJHF
0;BJHG;pBJHG
9;BJHH;pBJHH
11;BJHI;pBJHI
17;BJHJ;pBJHJ
14;BJIA;pBJIA
14;BJIB;pBJIB
10;BJIC;pBJIC
6;BJID;pBJID
7;BJIE;pBJIE
4;BJIF;pBJIF
6;BJIG;pBJIG
6;BJIH;pBJIH
10;BJII;pBJII
19;BJIJ;pBJIJ
18;BJJA;pBJJA
19;BJJB;pBJJB
18;BJJC;pBJJC
14;BJJD;pBJJD
13;BJJE;pBJJE
7;BJJF;pBJJF
15;BJJG;pBJJG
19;BJJH;pBJJH
11;BJJI;pBJJI
2;BJJJ;pBJJJ
10;CAAA;pCAAA
6;CAAB;pCAAB
17;CAAC;pCAAC
5;CAAD;pCAAD
19;CAAE;pCAAE
15;CAAF;pCAAF
1;CAAG;pCAAG
19;CAAH;pCAAH
0;CAAI;pCAAI
19;CAAJ;pCAAJ
6;CABA;pCABA
11;CABB;pCABB
1;CABC;pCABC
8;CABD;pCABD
11;CABE;pCABE
18;CABF;pCABF
16;CABG;pCABG
0;CABH;pCABH
17;CABI;pCABI
6;CABJ;pCABJ
2;CACA;pCACA
5;CACB;pCACB
14;CACC;pCACC
7;CACD;pCACD
17;CACE;pCACE
5;CACF;pCACF
12;CACG;pCACG
1;CACH;pCACH
7;CACI;pCACI
7;CACJ;pCACJ
10;CADA;pCADA
3;CADB;pCADB
19;CADC;pCADC
16;CADD;pCADD
17;CADE;pCADE
19;CADF;pCADF
15;CADG;pCADG
4;CADH;pCADH
6;CADI;pCADI
13;CADJ;pCADJ
18;CAEA;pCAEA
10;CAEB;pCAEB
18;CAEC;pCAEC
12;CAED;pCAED
10;CAEE;pCAEE
9;CAEF;pCAEF
2;CAEG;pCAEG
14;CAEH;pCAEH
4;CAEI;pCAEI
15;CAEJ;pCAEJ
16;CAFA;pCAFA
11;CAFB;pCAFB
18;CAFC;pCAFC
14;CAFD;pCAFD
4;CAFE;pCAFE
2;CAFF;pCAFF
14;CAFG;pCAFG
18;CAFH;pCAFH
8;CAFI;pCAFI
15;CAFJ;pCAFJ
18;CAGA;pCAGA
10;CAGB;pCAGB
4;CAGC;pCAGC
1;CAGD;pCAGD
3;CAGE;pCAGE
18;CAGF;pCAGF
9;CAGG;pCAGG
18;CAGH;pCAGH
18;CAGI;pCAGI
16;CAGJ;pCAGJ
2;CAHA;pCAHA
14;CAHB;pCAHB
4;CAHC;pCAHC
17;CAHD;pCAHD
16;CAHE;pCAHE
9;CAHF;pCAHF
5;CAHG;pCAHG
19;CAHH;pCAHH
12;CAHI;pCAHI
15;CAHJ;pCAHJ
19;CAIA;pCAIA
1;CAIB;pCAIB
11;CAIC;pCAIC
10;CAID;pCAID
3;CAIE;pCAIE
11;CAIF;pCAIF
6;CAIG;pCAIG
7;CAIH;pCAIH
12;CAII;pCAII
10;CAIJ;pCAIJ
9;CAJA;pCAJA
5;CAJB;pCAJB
19;CAJC;pCAJC
2;CAJD;pCAJD
16;CAJE;pCAJE
2;CAJF;pCAJF
7;CAJG;pCAJG
6;CAJH;pCAJH
8;CAJI;pCAJI
18;CAJJ;pCAJJ
10;CBAA;pCBAA
11;CBAB;pCBAB
11;CBAC;pCBAC
9;CBAD;pCBAD
7;CBAE;pCBAE
6;CBAF;pCBAF
12;CBAG;pCBAG
8;CBAH;pCBAH
9;CBAI;pCBAI
11;CBAJ;pCBAJ
1;CBBA;pCBBA
12;CBBB;pCBBB
17;CBBC;pCBBC
18;CBBD;pCBBD
1;CBBE;pCBBE
14;CBBF;pCBBF
4;CBBG;pCBBG
11;CBBH;pCBBH
12;CBBI;pCBBI
14;CBBJ;pCBBJ
15;CBCA;pCBCA
12;CBCB;pCBCB
5;CBCC;pCBCC
9;CBCD;pCBCD
10;CBCE;pCBCE
16;CBCF;pCBCF
3;CBCG;pCBCG
8;CBCH;pCBCH
9;CBCI;pCBCI
13;CBCJ;pCBCJ
3;CBDA;pCBDA
12;CBDB;pCBDB
5;CBDC;pCBDC
3;CBDD;pCBDD
5;CBDE;pCBDE
10;CBDF;pCBDF
12;CBDG;pCBDG
3;CBDH;pCBDH
13;CBDI;pCBDI
8;CBDJ;pCBDJ
4;CBEA;pCBEA
1;CBEB;pCBEB
8;CBEC;pCBEC
9;CBED;pCBED
14;CBEE;pCBEE
14;CBEF;pCBEF
19;CBEG;pCBEG
7;CBEH;pCBEH
0;CBEI;pCBEI
0;CBEJ;pCBEJ
11;CBFA;pCBFA
16;CBFB;pCBFB
11;CBFC;pCBFC
3;CBFD;pCBFD
10;CBFE;pCBFE
13;CBFF;pCBFF
3;CBFG;pCBFG
7;CBFH;pCBFH
17;CBFI;pCBFI
19;CBFJ;pCBFJ
7;CBGA;pCBGA
3;CBGB;pCBGB
18;CBGC;pCBGC
10;CBGD;pCBGD
1;CBGE;pCBGE
10;CBGF;pCBGF
19;CBGG;pCBGG
10;CBGH;pCBGH
5;CBGI;pCBGI
13;CBGJ;pCBGJ
0;CBHA;pCBHA
2;CBHB;pCBHB
5;CBHC;pCBHC
4;CBHD;pCBHD
2;CBHE;pCBHE
14;CBHF;pCBHF
2;CBHG;pCBHG
4;CBHH;pCBHH
12;CBHI;pCBHI
18;CBHJ;pCBHJ
5;CBIA;pCBIA
16;CBIB;pCBIB
7;CBIC;pCBIC
11;CBID;pCBID
8;CBIE;pCBIE
10;CBIF;pCBIF
12;CBIG;pCBIG
0;CBIH;pCBIH
6;CBII;pCBII
1;CBIJ;pCBIJ
1;CBJA;pCBJA
17;CBJB;pCBJB
11;CBJC;pCBJC
8;CBJD;pCBJD
0;CBJE;pCBJE
11;CBJF;pCBJF
17;CBJG;pCBJG
6;CBJH;pCBJH
6;CBJI;pCBJI
4;CBJJ;pCBJJ
16;CCAA;pCCAA
16;CCAB;pCCAB
8;CCAC;pCCAC
0;CCAD;pCCAD
4;CCAE;pCCAE
14;CCAF;pCCAF
18;CCAG;pCCAG
8;CCAH;pCCAH
1;CCAI;pCCAI
9;CCAJ;pCCAJ
17;CCBA;pCCBA
14;CCBB;pCCBB
10;CCBC;pCCBC
0;CCBD;pCCBD
3;CCBE;pCCBE
13;CCBF;pCCBF
6;CCBG;pCCBG
2;CCBH;pCCBH
4;CCBI;pCCBI
19;CCBJ;pCCBJ
15;CCCA;pCCCA
4;CCCB;pCCCB
7;CCCC;pCCCC
0;CCCD;pCCCD
15;CCCE;pCCCE
16;CCCF;pCCCF
1;CCCG;pCCCG
12;CCCH;pCCCH
17;CCCI;pCCCI
9;CCCJ;pCCCJ
13;CCDA;pCCDA
0;CCDB;pCCDB
19;CCDC;pCCDC
15;CCDD;pCCDD
18;CCDE;pCCDE
5;CCDF;pCCDF
9;CCDG;pCCDG
17;CCDH;pCCDH
17;CCDI;pCCDI
6;CCDJ;pCCDJ
3;CCEA;pCCEA
9;CCEB;pCCEB
2;CCEC;pCCEC
19;CCED;pCCED
11;CCEE;pCCEE
16;CCEF;pCCEF
7;CCEG;pCCEG
2;CCEH;pCCEH
17;CCEI;pCCEI
11;CCEJ;pCCEJ
2;CCFA;pCCFA
8;CCFB;pCCFB
14;CCFC;pCCFC
17;CCFD;pCCFD
8;CCFE;pCCFE
19;CCFF;pCCFF
10;CCFG;pCCFG
6;CCFH;pCCFH
11;CCFI;pCCFI
15;CCFJ;pCCFJ
9;CCGA;pCCGA
11;CCGB;pCCGB
17;CCGC;pCCGC
3;CCGD;pCCGD
12;CCGE;pCCGE
19;CCGF;pCCGF
13;CCGG;pCCGG
18;CCGH;pCCGH
17;CCGI;pCCGI
10;CCGJ;pCCGJ
10;CCHA;pCCHA
1;CCHB;pCCHB
4;CCHC;pCCHC
8;CCHD;pCCHD
10;CCHE;pCCHE
18;CCHF;pCCHF
12;CCHG;pCCHG
16;CCHH;pCCHH
1;CCHI;pCCHI
17;CCHJ;pCCHJ
5;CCIA;pCCIA
5;CCIB;pCCIB
17;CCIC;pCCIC
18;CCID;pCCID
19;CCIE;pCCIE
4;CCIF;pCCIF
0;CCIG;pCCIG
15;CCIH;pCCIH
11;CCII;pCCII
11;CCIJ;pCCIJ
7;CCJA;pCCJA
3;CCJB;pCCJB
0;CCJC;pCCJC
18;CCJD;pCCJD
14;CCJE;pCCJE
4;CCJF;pCCJF
6;CCJG;pCCJG
5;CCJH;pCCJH
18;CCJI;pCCJI
13;CCJJ;pCCJJ
18;CDAA;pCDAA
5;CDAB;pCDAB
14;CDAC;pCDAC
3;CDAD;pCDAD
8;CDAE;pCDAE
10;CDAF;pCDAF
9;CDAG;pCDAG
1;CDAH;pCDAH
0;CDAI;pCDAI
19;CDAJ;pCDAJ
